"","insect","spinifex","skinks","large skinks","mala","small mammal","kangaroo","echidna","snakes","solanum","bird","goanna","betong","eggs","grass","forb","acacia","tree","misc plant","subshrub","shrub","wama","human","bandicoot","bilby","grub","carnivorous mammal","possum","eagle","bustard","dingo","cat","camel","emu","fox","patchiness","human fire","lightning fire","fire"
"eggs",0,0,0,0,0,0,0,0,-0.232099724263723,0,0,-0.0821036649619222,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0851886062638659,0,0,-0.0399312141109555,0,0,0,0
"grass",0,0,0,-0.389385258290511,0,-0.538621114511057,-0.377467503377678,0,0,0,-0.265132257132444,0,-0.680635253031996,0,-1,0,0,0,0,0,0,0,-0.217211494269013,-0.0975250779861115,0,0,0,0,0,0,0,0,-0.196784205487066,-0.0713987324428677,0,0,-0.701726999164093,-0.980527719676029,0
"forb",-0.0230523977712379,0,0,-0.0281009327677312,-0.0673827730708942,-0.189995315032075,-0.0722416634452541,0,0,0,-0.615284352435028,0,-0.340551498491645,0,0,-1,0,0,0,0,0,0,-0.230101450057107,-0.322589361774585,0,0,0,-0.736310879356413,0,0,0,0,-0.0146123191543979,-0.0750875415485164,0,0,-0.124734840607271,-0.359272644938901,0
"acacia",-0.0456967297962806,0,0,0,0,0,0,0,0,0,-0.0829942522893444,0,0,0,0,0,-1,0,0,0,0,0,-0.526672955169569,-0.151664221931568,0,-0.166900245930426,0,0,0,0,0,0,0,0,0,0,-0.992542462686542,-0.398260373142548,0
"tree",-0.0857152165254668,0,0,0,0,0,0,0,0,0,-0.11567897852681,0,0,0,0,0,0,-1,0,0,0,0,-0.370598669858609,-0.0148775656064429,0,-0.115808029944505,0,-0.201663258376197,0,0,0,0,-0.738418336592889,-0.0850689799239617,0,0,-0.650669379574247,-0.381464157185983,0
"misc plant",0,0,0,0,0,-0.36731574584501,0,0,0,0,-0.0955789217743738,0,0,0,0,0,0,0,-1,0,0,0,-0.187428339188291,0,0,0,0,-0.0422399899202694,0,0,0,0,-0.260527474550346,-0.144347282754599,0,0,-0.745257554329,-0.137190114152618,0
"subshrub",-0.265333752334339,0,0,-0.0257336834037186,0,-0.191075383641035,0,0,0,0,-0.0268102151426495,0,0,0,0,0,0,0,0,-1,0,0,-0.205943937169048,-0.315589179287594,0,0,0,-0.120885522354635,0,0,0,0,-0.390980866662429,-0.0651918854565207,0,0,-0.0655719896545634,-0.524943656220566,0
"shrub",0,0,0,0,0,-0.183919643270671,0,0,0,0,-0.0412665653056463,0,0,0,0,0,0,0,0,0,-1,0,-0.0395054454996611,0,0,0,0,-0.297808814358373,0,0,0,0,-0.203582619199854,-0.543439695863733,0,0,-0.690917421027552,-0.817164427260868,0
"wama",-0.417984446064678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.624688653493433,0,0,0,0,-0.260701451625463,0,0,0,0,-0.141275260969215,-0.181380039719485,0,0,-0.353207811044995,-0.992498935316689,0
"human",0.00598924696212887,0,0.00996151145311968,0.0496884925215079,0.00964615545610078,0.0224680103866254,0.0535098279241502,0.00155984740257301,0.0416572226786993,0.0242103281609684,0.0019731319627332,0.0584947559971837,0.00476695477001582,0,0.0217211494269013,0.0230101450057107,0.0526672955169569,0.0370598669858609,0.0187428339188291,0.0205943937169048,0.00395054454996611,0.0624688653493433,-0.1,0.0177523016040471,0.0155503103849009,0,0.0749023316447033,0.00384197574598819,0.0426912549258786,0.00324433172093693,0.00987017106774745,0.00673942099284862,0.0137758482447031,0.00397930677955328,0.0088604191501842,0,0,0,0
"bandicoot",0.045420670895523,0.460844520900479,0,0,0,0,0,0,0,0,0,0,0,0,0.467106112811952,0.0322589361774585,0.0151664221931568,0.00148775656064429,0,0.0315589179287594,0,0,-0.177523016040471,-0.1,0,0,-0.22660233686976,0,-0.0845312717136123,0,-0.222057023891541,0,0,0,0,0.230554316195194,0,-0.982955361071508,0
"bilby",0.00575461993802585,0.301199425326195,0,0,0,0,0,0,0,0,0,0,0,0,0.283819604420569,0,0,0,0,0,0,0,-0.155503103849009,0,-0.1,0,-0.45375175236252,0,0,0,0,0,0,0,0,0.781878962134942,0,-0.348059763778001,0
"grub",0,0,-0.0766958176038895,-0.200091926517736,0,0,0,0,0,0,0,0,0,0,0,0,0.0166900245930426,0.0115808029944505,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,-0.221340056280961,0,0,0,0,0
"carnivorous mammal",0.0218393507601696,0,0,0,0.0214336874425925,0.0135312913282296,0.0178509187945882,0.0607024728250632,-0.451393606019627,0,-0.142489376808388,0,0.0247949308848509,0,0,0,0,0,0,0,0,0,-0.749023316447033,0.022660233686976,0.045375175236252,0,-0.1,0,0,0,0,-0.606923762617102,0,0,0,0,0,0,0
"possum",0,0.184098160595167,0,0,0,0,0,0,0,0,0,0,0,0,0.415961796671618,0.0736310879356413,0,0.0201663258376197,0.00422399899202694,0.0120885522354635,0.0297808814358373,0.0260701451625463,-0.0384197574598819,0,0,0,0,-0.1,0,0,-0.159299752105623,-0.653370615615248,0,0,-0.111469776428639,0.251614532652311,0,0,0
"eagle",0.0611483062093406,0,0.0149485821759829,0.00911639541468315,0.0018598580357564,0.0605519934154693,0.0193728075277064,0,0,0,0.0315380503379127,0.0074197152231297,0.034576063862259,0,0,0,0,0,0,0,0,0,-0.426912549258786,0.00845312717136123,0,0,0,0,-0.1,0,-0.512500408436233,0.00166402548401643,0,0,-0.101266980295681,0,0,0,0
"bustard",0.0145196730960368,0.00925596561242582,0.0258950292570925,0.010601646512613,0,0.0223730463791259,0,0,0.0399721711437245,0.0265788379967137,0.00324220292198507,0.0510644165720843,0,0,0,0,0,0,0,0,0,0,-0.0324433172093693,0,0,0,0,0,0,-0.1,-0.355491971304419,-0.247118200140147,0,0,-0.1914416337753,0,0,0,0
"dingo",0.0317248695925537,0,0.0140501993343064,0.0842471036571838,0.027996478786261,0.00846938769896466,0.0504075695607375,0.0388426003765919,0,0,0.0230360386360123,0.0415125749659054,0.0299154565142447,0,0,0,0,0,0,0,0,0,0.830665984365855,0.0222057023891541,0,0,0,0.0159299752105623,0.0512500408436233,0.0355491971304419,-0.1,0.0220223190528363,0.0166677799070721,0.021280254313434,0.00809597124007567,0.979644414666109,0,-0.142294045577291,0
"cat",0,0.868523061466403,0.0163425376910821,0.0244735831388426,0.0370061485943439,0.00722747435286447,0.0270197071070693,0.0277363297239857,0.0380028724291135,0,0.00103058502421583,0.0240886650115322,0,0.00851886062638659,0.979352662095334,0,0,0,0,0,0,0,-0.0673942099284862,0,0,0,0.0606923762617102,0.0653370615615248,-0.0166402548401643,0.0247118200140147,-0.220223190528363,-0.1,0,0,0.00441441923683991,-0.916094317531679,0,0,0
"camel",0,0.00530691247614571,0,0,0,0,0,0,0,0.0134669686647947,0,0,0,0,0.0196784205487066,0.00146123191543979,0,0.0738418336592889,0.0260527474550346,0.0390980866662429,0.0203582619199854,0.0141275260969215,-0.137758482447031,0,0,0,0,0,0,0,-0.166677799070721,0,-0.1,0,0,0,0,0,0
"emu",0,0.00301370664900016,0.0235616262799688,0,0,0,0,0,0,0,0,0,0,0,0.00713987324428677,0.00750875415485164,0,0.00850689799239617,0.0144347282754599,0.00651918854565207,0.0543439695863733,0.0181380039719485,-0.0397930677955328,0,0,0.0221340056280961,0,0,0,0,-0.21280254313434,0,0,-0.1,0,0,0,0,0
"fox",0.00961272089498545,0,0,0,0,0.0200317456700712,0,0,0,0,0,0,0,0.00399312141109555,0,0,0,0,0,0,0,0,-0.0886041915018421,0,0,0,0,0.0111469776428639,0.0101266980295681,0.01914416337753,-0.0809597124007567,-0.0441441923683991,0,0,-0.1,-0.249434355569538,0,0,0
"patchiness",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.434952041287906,-0.0665019753063098,0
"human fire",0,0.821954447464086,0,0,0,0,0,0,0,0.509464787628967,0,0,0,0,0.152409835190047,0.700370644119103,0.407422235747799,0.359610995631665,0.917125547186006,0.857443375389557,0.432235753340647,0.866955439734738,0.652468233874533,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
"lightning fire",0,0.0797088482836261,0,0,0.608558370517567,0,0,0,0,0.62915661580395,0,0.311403206670657,0,0,0.465956367142498,0.998713620854542,0.456981720610056,0.732641643013339,0.320997257009149,0.0960876957327127,0.307561728248838,0.945432368498296,0,0.273767544555012,0.0158035984495655,0,0,0,0,0,0.560950552402064,0,0,0,0,-0.930918561099097,0,-1,0
"fire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
