common,latin,stefgroup
skink,Leiolopisma metallicum,skinks
skink,Leiolopisma trilineatum,skinks
pond scum,Lemna disperma,insect
Butterflies and moths,Lepidoptera,insect
Flowering saltbush,Leptosema chambersii,forb
Bougainville's skink,Lerista bougainvillea,skinks
Gilbert's dragon,Lophognatus gilberti,skinks
Hill kangaroo,Macropus robustus,kangaroo
Red kangaroo,Macropus rufus,kangaroo
Greater bilby,Macrotis lagotis,bilby
Mantis,Mantodea,insect
Budgie parakeet,Melopsittacus undulatus,bird
common dwarf skink,Menetia greyii,skinks
thorny devil,Moloch horridus,skinks
West coat Morethia skink,Morethia lineoocellatus,skinks
fungus,Mycoclelandia bulundarii,forb
water milfoil,Myriophyllum crispatum,rush
roundworms,Nematodes,insect
lacewing,Neuroptera,insect
Nitre bush,Nitraria billardierei,bush
desert spadefoot toad,Notaden nichollsi,skinks
native mouse,Notomys sp.,small mammal
Northern marsupial mole,Notoryctes caurinus,small mammal
creseted pigeon,Ocyphaps lophotes,bird
marbled gecko,Oedura marmorata,skinks
"grasshopper, locust, cricket",Orthoptera,insect
European rabbit,Oryctolagus cuniculus,small mammal
micro crustaceans,Ostracods,insect
australian millet,Panicum decompositum,grass
desert bandicoot,Perameles eremiana,bandicoot
black-flanked rock wallabee,Petrogale lateralis,small mammal
stick bug,Phasmatodea,insect
Soft spinifex,Plectrachne schinzii,spinifex
dwarf bearded dragon,Pogona minor,skinks
central bearded dragon,Pogona vitticeps,skinks
common purslane,Portulaca oleracea,forb
Protozoa,Protozoans (ciliates),insect
mulga snake,Pseudechis australis,Snakes
Tree growth parasite,Psylla eucalypti,insect
pink mulla mulla,Ptilotus exaltatus,forb
green pussytail,Ptilotus macrocephalus,forb
Prince of Wales feather grass,Ptilotus polystachyus,forb
eastern hooded scaly foot,Pygopus schraderi,skinks
reptile eggs,Reptile eggs,eggs
plant,Rhyncharrhena linearis,forb
Desert quandong,Santalum acuminatum,bush
Northern sandalwood,Santalum lanceolatum,bush
Camel weed,Scaevola parvifolia,forb
scorpions,Scorpionida,insect
flowering plant,Senna sp.,shrub
tall sida,Sida calyxhymenia,bush
stripe-faced dunnart,Sminthopsis macroura,carnivorous_mammal
Solanum fruits,Solanum centrale,solanum
Solanum fruits,Solanum chippendalei,solanum
Solanum fruits,Solanum cleistogamum,solanum
Solanum fruits,Solanum diversiflorum,solanum
Solanum fruits,Solanum gilesii,solanum
Solanum fruits,Solanum lasiophyllum,solanum
Australian pratincole,Stiltia isabella,bird
venomous snake,Suta suta,Snakes
short-beaked echidna,Tachyglossus aculeatus,small mammal
zebra finch,Taeniopygia guttata,bird
purple flower bush,Tecticornia verrucosa,bush
short herb,Tetragonia eremaea,forb
Desert heath myrtle,Thryptomene maisonneuve,bush
grass,Thyridolepis multiculmis,grass
blue tongued skink,Tiliqua multifasciata,tiliqua
blue tongued lizard,Tiliqua occipitalis,tiliqua
eastern blue tongued lizard,Tiliqua scincoides,tiliqua
brushtail possum,Trichosurus vulpecula,small mammal
stingless bees,Trigona sp.,insect
spinifex,Triodia basedownii,spinifex
spinifex,Triodia longiceps,spinifex
spinifex,Triodia pungens,spinifex
Little buttonquail,Turnix velox,bird
Eyrean earless dragon,Tympanocryptis tetraporophora,skinks
southern cattail,Typha dominguensis,rush
bullrush,Typha orientalis,rush
Varanid,Varanus acanthurus,goanna
Varanid,Varanus giganteus,goanna
Varanid,Varanus gouldii,goanna
Varanid,Varanus panoptes,goanna
Varanid,Varanus tristis,goanna
Pencil Yam,Vigna lanceolata,kanjamarra
fox,Vulpes vulpes,fox
Lazarides grass,Yakirra australiensis,grass
silverfish insect,Zygentoma ,insect
