Common names,Latin Name,Group,
Leonhardi's lizard,Ctenotus leonhardii,skinks,M
Eastern striped skink,Ctenotus robustus,skinks,M
Eastern Barred Wedgesnoutæ,Ctenotus strauchii,skinks,M
Great desert skink,Egernia kintorei,skinks,M
Nocturnal desert skink,Egernia striata,skinks,M
Australian tree skink,Egernia striolata,skinks,M
Four toed earless skink,Hemiergis peronii,skinks,M
Bynoe's gecko,Heteronotia binoei,skinks,M
skink,Leiolopisma metallicum,skinks,M
skink,Leiolopisma trilineatum,skinks,M
Bougainville's skink,Lerista bougainvillea,skinks,M
Gilbert's dragon,Lophognatus gilberti,skinks,M
common dwarf skink,Menetia greyii,skinks,M
thorny devil,Moloch horridus,skinks,M
West coat Morethia skink,Morethia lineoocellatus,skinks,M
desert spadefoot toad,Notaden nichollsi,skinks,M
marbled gecko,Oedura marmorata,skinks,M
dwarf bearded dragon,Pogona minor,skinks,M
central bearded dragon,Pogona vitticeps,skinks,M
eastern hooded scaly foot,Pygopus schraderi,skinks,M
blue tongued skink,Tiliqua multifasciata,skinks,M
blue tongued lizard,Tiliqua occipitalis,skinks,M
eastern blue tongued lizard,Tiliqua scincoides,skinks,M
Eyrean earless dragon,Tympanocryptis tetraporophora,skinks,M
Burrowing betong,Bettongia lesueur,small mammal,N
pig-footed bandicoot,Chaeropus ecaudatus,small mammal,N
crest-tailed mulgara,Dasycercus cristicauda,small mammal,N
carniverous marsupial,Dasycercus hilleri,small mammal,N
carniverous marsupial,Dasyurus hallucatus,small mammal,N
golden bandicoot,Isodon auratus,small mammal,N
mala,Lagorchestes hirsutus,small mammal,N
Forrest's mouse,Leggadina forresti,small mammal,N
Greater bilby,Macrotis lagotis,small mammal,N
native mouse,Notomys sp.,small mammal,N
Northern marsupial mole,Notoryctes caurinus,small mammal,N
desert bandicoot,Perameles eremiana,small mammal,N
black-flanked rock wallabee,Petrogale lateralis,small mammal,N
stripe-faced dunnart,Sminthopsis macroura,small mammal,N
short-beaked echidna,Tachyglossus aculeatus,small mammal,N
brushtail possum,Trichosurus vulpecula,small mammal,N
Stimson's python,Antaresia stimsoni,Snakes,O
black-headed python,Aspidites melanocephalus,Snakes,O
Ramsay's python,Aspidites ramsayii,Snakes,O
mulga snake,Pseudechis australis,Snakes,O
venomous snake,Suta suta,Snakes,O
Solanum fruits,Solanum centrale,solanum,P
Solanum fruits,Solanum chippendalei,solanum,P
Solanum fruits,Solanum cleistogamum,solanum,P
Solanum fruits,Solanum diversiflorum,solanum,P
Solanum fruits,Solanum gilesii,solanum,P
Solanum fruits,Solanum lasiophyllum,solanum,P
Woolybutt grass,Eragrostis eriopoda,spinifex,Q
Canegrass,Eragrostis lanipes,spinifex,Q
Canegrass,Eragrostis setifolia,spinifex,Q
australian millet,Panicum decompositum,spinifex,Q
Soft spinifex,Plectrachne schinzii,spinifex,Q
spinifex,Triodia basedownii,spinifex,Q
spinifex,Triodia longiceps,spinifex,Q
spinifex,Triodia pungens,spinifex,Q
Lazarides grass,Yakirra australiensis,spinifex,Q
grass,Thyridolepis multiculmis,spinifex,Q
parasitic shrub,Amyema sp.,vine,R
Australian myrtle,Canthium attenuatum,vine,R
myrtle,Canthium latifolium,vine,R
Musk melon,Cucumis melo (agrestis),vine,R
Ficus,Ficus brachypoda,vine,R
Tree growth parasite,Psylla eucalypti,vine,R
Pencil Yam,Vigna lanceolata,vine,R
plant,Grevillea eriostachya,wama,S
plant,Grevillea stenobotrya,wama,S
plant,Grevillea wickhamii,wama,S
plant,Hakea leucoptera,wama,S
plant,Hakea suberea,wama,S
Wedge-tailed eagle,Aquila audax,eagle,T
bustard,Ardeotis australis,bustard,U
Camel,Camelus dromedarius,camel,V
Dingo,Canis lupus dingo,dingo,W
Emu,Dromaius novaehollandiae,emu,X
human,Homo sapiens,human,Y
Fire,Fire,fire,Z
