common,latin,stefgroup
Butterflies and moths,Lepidoptera,insect
Mantis,Mantodea,insect
roundworms,Nematodes,insect
lacewing,Neuroptera,insect
"grasshopper, locust, cricket",Orthoptera,insect
micro crustaceans,Ostracods,insect
stick bug,Phasmatodea,insect
Protozoa,Protozoans (ciliates),insect
Tree growth parasite,Psylla eucalypti,insect
scorpions,Scorpionida,insect
stingless bees,Trigona sp.,insect
silverfish insect,Zygentoma ,insect
Hill kangaroo,Macropus robustus,kangaroo
Red kangaroo,Macropus rufus,kangaroo
Pencil Yam,Vigna lanceolata,kanjamarra
lightning fire,lightning fire,lightning fire
mala,Lagorchestes hirsutus,mala
Bush Onion,Cyperus bulbosus,minyara
parasitic shrub,Amyema sp.,misc_plant
Musk melon,Cucumis melo (agrestis),misc_plant
water milfoil,Myriophyllum crispatum,rush
southern cattail,Typha dominguensis,rush
bullrush,Typha orientalis,rush
Australian myrtle,Canthium attenuatum,shrub
myrtle,Canthium latifolium,shrub
native fuscia,Eremophila latrobei,shrub
flowering figwort,Eremophila longifolia,shrub
Ficus,Ficus brachypoda,shrub
flowering plant,Senna sp.,shrub
Lizard,Amphibolurus burnsi,skinks
Striated worm-lizard,Aprasia striolata,skinks
ring tailed dragon,Ctenophorus caudicinctus,skinks
Military dragon,Ctenotus isolepis,skinks
Leonhardi's lizard,Ctenotus leonhardii,skinks
Eastern striped skink,Ctenotus robustus,skinks
Eastern Barred Wedgesnoutæ,Ctenotus strauchii,skinks
Great desert skink,Egernia kintorei,skinks
Nocturnal desert skink,Egernia striata,skinks
Australian tree skink,Egernia striolata,skinks
Four toed earless skink,Hemiergis peronii,skinks
Bynoe's gecko,Heteronotia binoei,skinks
skink,Leiolopisma metallicum,skinks
skink,Leiolopisma trilineatum,skinks
Bougainville's skink,Lerista bougainvillea,skinks
Gilbert's dragon,Lophognatus gilberti,skinks
common dwarf skink,Menetia greyii,skinks
thorny devil,Moloch horridus,skinks
West coat Morethia skink,Morethia lineoocellatus,skinks
desert spadefoot toad,Notaden nichollsi,skinks
marbled gecko,Oedura marmorata,skinks
dwarf bearded dragon,Pogona minor,skinks
central bearded dragon,Pogona vitticeps,skinks
eastern hooded scaly foot,Pygopus schraderi,skinks
Eyrean earless dragon,Tympanocryptis tetraporophora,skinks
Forrest's mouse,Leggadina forresti,small mammal
native mouse,Notomys sp.,small mammal
Northern marsupial mole,Notoryctes caurinus,small mammal
European rabbit,Oryctolagus cuniculus,small mammal
black-flanked rock wallabee,Petrogale lateralis,small mammal
short-beaked echidna,Tachyglossus aculeatus,small mammal
brushtail possum,Trichosurus vulpecula,small mammal
Stimson's python,Antaresia stimsoni,Snakes
black-headed python,Aspidites melanocephalus,Snakes
Ramsay's python,Aspidites ramsayii,Snakes
mulga snake,Pseudechis australis,Snakes
venomous snake,Suta suta,Snakes
Solanum fruits,Solanum centrale,solanum
Solanum fruits,Solanum chippendalei,solanum
Solanum fruits,Solanum cleistogamum,solanum
Solanum fruits,Solanum diversiflorum,solanum
Solanum fruits,Solanum gilesii,solanum
Solanum fruits,Solanum lasiophyllum,solanum
Woolybutt grass,Eragrostis eriopoda,spinifex
Canegrass,Eragrostis lanipes,spinifex
Canegrass,Eragrostis setifolia,spinifex
Soft spinifex,Plectrachne schinzii,spinifex
spinifex,Triodia basedownii,spinifex
spinifex,Triodia longiceps,spinifex
spinifex,Triodia pungens,spinifex
blue tongued skink,Tiliqua multifasciata,tiliqua
blue tongued lizard,Tiliqua occipitalis,tiliqua
eastern blue tongued lizard,Tiliqua scincoides,tiliqua
plant,Grevillea eriostachya,wama
plant,Grevillea stenobotrya,wama
plant,Grevillea wickhamii,wama
plant,Hakea leucoptera,wama
plant,Hakea suberea,wama
patchiness,patchiness,patchiness
